AuthorVerbeke,Mathias 0.200000
AuthorCheung,Lap 0.200000
AuthorKapah,Oren 0.200000
AuthorCuayahuitl,Heriberto 0.200000
AuthorChristophe,Anne 0.200000
AuthorWerff,Laurens van der 0.200000
AuthorRogers,Willie J. 0.200000
AuthorKhmylko,Lidia 0.200000
AuthorCybulska,Agata Katarzyna 0.200000
AuthorJim̩nez,Santiago 0.200000
AuthorLe,Dieu-Thu 0.200000
AuthorAllison,Ben 0.200000
AuthorDrndarevic,Biljana 0.200000
AuthorStringa,L. 0.200000
AuthorAusterweil,Joseph 0.200000
AuthorDe La Cruz,Vivian 0.200000
AuthorJingHui,Xiao 0.200000
AuthorManshadi,Mehdi 0.200000
AuthorSeddah,Djame 0.200000
AuthorMurray,William 0.200000
AuthorDabbadie,Marianne 0.200000
AuthorAgirrezabal,Manex 0.200000
AuthorKim,Taewan 0.200000
AuthorFox,Barbara 0.200000
AuthorB&#xE4;r,Daniel 0.200000
AuthorBiemann,Christian 0.200000
AuthorFresno,Victor 0.200000
AuthorSheehan,Kathleen M. 0.200000
AuthorNoah,William W. 0.200000
AuthorHabert,Benoit 0.200000
AuthorMolla Aliod,Diego 0.200000
AuthorMontilha,Gisele 0.200000
AuthorAhat,Murat 0.200000
AuthorGranada,Roger 0.200000
AuthorMinsky,Marvin 0.200000
AuthorLahti,William 0.200000
AuthorSelvarajan,Raja 0.200000
AuthorSuderman,Keith 0.200000
AuthorEisele,Andreas 0.200000
AuthorPtaszynski,Michal 0.200000
AuthorPopescu-Belis,Andrei 0.200000
AuthorOver,Paul 0.200000
AuthorRatkovic,Zorana 0.200000
AuthorR̦pke,Insa 0.200000
AuthorGal,Yarin 0.200000
AuthorChicoisne,Guillaume 0.200000
AuthorMoreno,L. 0.200000
AuthorUpadhyay,Sid 0.200000
AuthorHarper,Lisa 0.200000
AuthorCheng,Shuk-Man 0.200000
AuthorChen,Zhenbiao 0.200000
AuthorHughes,Thad 0.200000
AuthorMorgan,Jerry L. 0.200000
AuthorEdwards,Peter 0.200000
AuthorYang,Beibei 0.200000
AuthorHarman,Donna 0.200000
AuthorSehitoglu,Onur T. 0.200000
AuthorYang,Hui 0.200000
AuthorBerwick,Robert C. 0.200000
AuthorKhan,Muhammad Aamir 0.200000
AuthorKarov,Yael 0.200000
AuthorEl Isbihani,Anas 0.200000
AuthorZoltowski,Carla B. 0.200000
AuthorAmbwani,Geetu 0.200000
AuthorMackay,Wesley 0.200000
AuthorConway,Mike 0.200000
AuthorKao,TingHui 0.200000
AuthorJermann,Patrick 0.200000
AuthorO'Connor,Brendan 0.200000
AuthorPajas,Petr 0.200000
AuthorZhao,Qi 0.200000
AuthorSrikanth,P 0.200000
AuthorYu,George 0.200000
AuthorAmir,Silvio 0.200000
AuthorCarenini,Giuseppe 0.200941
AuthorIshii,Masayuki 0.200000
AuthorWatanabe,Satoru 0.200000
AuthorHollingshead,Kristy 0.200000
AuthorClemens,Caroline 0.200000
AuthorCheng,Alex 0.200000
AuthorHonarpisheh,Mohamad Ali 0.200000
AuthorPertsova,Katya 0.200000
AuthorWhye Teh,Yee 0.200000
AuthorKovachev,Bogomil 0.200000
AuthorWolf,Peter 0.200000
AuthorTzouridis,Emmanouil 0.200000
AuthorLamb,William 0.200000
AuthorGreeve,Fai 0.200000
AuthorCritz,James T. 0.200000
